english_caption,bengali_caption
two dogs fight over a piece of cloth .,দুটি কুকুর একটি কাপড়ের টুকরার জন্য লড়ছে।
two dogs tug on a towel .,দুটি কুকুর একটি তোয়ালে টানছে
two dogs with a rag in their mouths,দুটি কুকুর একটি কাপড়ের ছিড়া টুকরো মুখে নিয়ে আছে
two large black dogs with red studded collars pulling on ends of a white rag on porch,লাল কলার পরা দুটি বড় কালো কুকুর একটি সাদা কাপড়ের প্রান্ত টানছে
a child with wild hair and sunglasses getting off a blue slide .,রোদ চশমা পরা ছেলেটি একটি নীল স্লাইড থেকে নামছে
a small child at the bottom of a slide has hair sticking up .,স্লাইডের তলায় থাকা এক ছোট শিশুর চুল খাড়া হয়ে আছে।
a young child in blue jeans sliding down a blue slide,নীল জিন্সের একটি ছোট বাচ্চা নীল স্লাইডটি স্লাইড করছে
a young child wearing sunglasses is at the base of a blue slide .,রোদচশমা পরা শিশুটি একটি নীল স্লাইডের গোড়ায় বসে আছে
distorted photograph of a child at the bottom of a slide .,স্লাইডের শেষে একটি বাচ্চার ছবি
a dark haired bearded man in glasses and a hawaiian shirt is sitting on the grass .,চশমা পরা কালো চুলের লোকটি ঘাসের উপর বসে আছে
a man wearing glasses sits in the grass .,চশমা পড়া এক ব্যক্তি ঘাসে বসে আছে।
a man with a beard and glasses sits in the grass next to a pine tree .,দাড়ি এবং চশমাযুক্ত একটি ব্যক্তি একটি পাইন গাছের পাশের ঘাসে বসে।
a man with glasses and a beard sitting in the grass .,চশম এবং দাঁড়িওয়ালা লোকটি ঘাসের উপর বসে আছে
an unshaven man sits in front of an evergreen tree .,একটি চিরসবুজ গাছের সামনে একজন দাড়ি না কামানো লোক বসে আছে
three woman walk down a city street and one has a pink purse .,তিনজন মহিলা রাস্তা দিয়ে হেঁটে যাচ্ছে
"three women , two with tattoos , walking down the street","তিন নারী ,দুইজন ট্যাটুসহ, রাস্তায় হাটছে।"
women are walking through the street drinking iced coffee .,মহিলারা রাস্তায় হাঁটছেন আর আইসড কফি পান করছেন।
women walk down a buzy sidewalk .,মহিলাটি একটি ব্যস্ত ফুটপাত দিয়ে হেঁটে যাচ্ছে
women walking down the street .,মহিলারা রাস্তা দিয়ে হেঁটে যাচ্ছে
a black and tan dog is running along a series of stone walkways spaced between grass .,ঘাসের মধ্যকার পাথরের সিঁড়ি দিয়ে একটি কুকুর দৌড়াচ্ছে
a dog running .,একটি কুকুর দৌড়াচ্ছে।
a dog running in a park .,পার্কে কুকুরটি দৌড়াচ্ছে
dog running down paved walkway near a japanese maple tree .,জাপানি ম্যাপল গাছের পাশে বাধানো একটি রাস্তা দিয়ে একটি কুকুর দৌড়ে যাচ্ছে
the dog runs in the park .,উদ্যানে কুকুর দৌড়াচ্ছে
a group of baseball players wearing blue uniforms walk across the grass .,সাদা ও নীল ইউনিফর্ম পরা একদল ফুটবল খেলোয়াড় মাঠে হাঁটছে
a men 's baseball team leaving the field,এক পুরুষ বেসবল দল মাঠ ছাড়ছে ।
"a team of baseball players in blue uniforms , walking together on field .","নীল ইউনিফর্মে বেসবল খেলোয়াড়দের একটি দল, মাঠে একসাথে হাঁটছে।"
"group of people on a ball team wearing blue and white uniforms some of gloves on their hands one is wearing red shoes , tall trees are in the background .","একদল বল দল নীল জামা পরে হাতে গ্লাভস, লাল জুতা পরে আছে এবং তাদের পিছনে লম্বা গাছের সারি"
twelve members of a baseball team walk across the diamond .,একটি বেসবল দলের বারোজন খেলোয়াড় বেসবল মাঠের মধ্যে দিয়ে হেঁটে যাচ্ছে
a girl swings on a nice day .,একটি সুন্দর দিনে মেয়েটি দোলনা চড়ছে
child in a striped shirt is swinging from a rope swing .,ডোরাকাটা গেঞ্জি পড়া এক শিশু দড়ির দোলনায় ঝুলছে।
girl swinging on a swing outside in a wooded area .,বাইরে কাঠের জায়গায় দোলের উপর দুলছে মেয়েটি
the blonde girl with the blue stripe shirt is swinging .,সোনালি চুলওয়ালা মেয়েটি  নীল ডোরাকাটা জামা  পরে দোলনায় দুলছে
the young girl is on a swing outdoors .,বাইরে একটি বাচ্চা মেয়ে দোলনায় দুলছে
a man in a wheelchair riding to the park .,হুইলচেয়ারে থাকা এক ব্যক্তি পার্কের দিকে এগিয়ে যাচ্ছে
a person in a wheelchair is on a sidewalk .,হুইলচেয়ারে থাকা এক ব্যক্তি ফুটপাতে।
a person wearing a knit cap riding in a wheelchair along a seidwalk outside of a building .,দালানের বাইরের একটি সাইডওয়াক ধরে হুইলচেয়ারে চড়ে একটি বোনা ক্যাপ পরা ব্যক্তি।
"a person with a brown hat and black jacket is in a wheelchair crossing in front of a sign that says "" park "" .","বাদামী টুপি,  কালো জ্যাকেট পরা একটি লোক চাকাওয়ালা চেয়ারে বসে একটি চিহ্নের সামনে দাড়িয়ে আছে যেখানে লেখা পার্ক"
the handicapped man wheels past the parking lot .,একজন পঙ্গু লোক হুইলে করে পার্কিং লট পার হচ্ছে
a child slides down a slide and into the water .,মেয়েটি পানিতে লাফালাফি করছে
a girl sliding into a pool,এক মেয়ে একটি পুলে স্লাইড বেয়ে নামছে।
a little girl in a white shirt sliding down a green slide splashing into a blue baby pool .,একটি সাদা শার্টের একটি ছোট্ট মেয়ে একটি সবুজ স্লাইড বেয়ে নীল রং এর শিশুদের পুলে ছিটকে পড়লো
a little girl splashes in a pool of water .,একটি মেয়ে পুকুরে জল ছিটচ্ছে
little girl slides down in the pool .,ছোট মেয়ে পুলে পিছলে পড়ছে
a black and white dog catches flying discs thrown by a man .,একটি সাদা ও কালো ছোপযুক্ত কুকুর একটি সাদা চাকতি ধরার জন্য লাফ দিয়েছে
a black a white dog catching frisbees thrown by a man in a white shirt,একটি সাদা ও কালো কুকুর সাদা গেঞ্জি পড়া লোকের ছুড়া চাকতিটি ধরছে।
a dog jumps for a frisbee at the purina incredible dog challenge .,পুরিনা অবিশ্বাস্য কুকুর চ্যালেঞ্জে একটি কুকুর একটি চাকতির জন্য লাফায়
a man is throwing freesbies into the air and the border collie is catching them in the air .,লোকটি ফ্রিসবি মারছে আর কুকুরটি ধরছে
man in white shirt tossing frisbee for black and white dog who has a white frisbee in its mouth .,সাদা শার্টের লোকটি ফ্রিসবি ছুড়ছে সাদা-কালো কুকুরের জন্য যার মুখে একটি সাদা ফ্রিসবি রয়েছে
a dog with a frisbee jumps over a man,ফ্রিসবি মুখে কুকুরটি একটি লোকের উপর দিয়ে লাফিয়ে যাচ্ছে
a large crowd of people are sitting watching a dog jump high up to catch a frisbee with a man standing under the dog looking up at it .,এক বিশাল জনতা বসে চাকতি ধরতে উচুঁতে লাফ দেয়া একটি কুকুরকে দেখছে যার নিচে এক ব্যক্তি এটাকে  দেখছে।
a man ducks down as a dog flies over his head to fetch a frisbee .,একটি চাকতি আনতে কুকুরটি তার মাথার উপর দিয়ে উড়ে যাওয়ার সময় একজন লোক নুয়ে যায়
a white dog in a blue leaps over a man in a blue outfit with yellow stars in order to catch a frisbee whilst people stand by and watch .,হলুদ তারার নীল পোষাক পরা লোকের ওপর দিয়ে একটি নীল কাপড় পরা সাদা কুকুর লাফ দিচ্ছে ফ্রিসবি ধরার জন্য যখন অন্য লোকের দাঁড়িয়ে দেখছে
man and jumping dog perform frisbee act for crowd at outdoor event .,একজন লোক ও একটি কুকুর ফ্রিজবি দিয়ে কসরত প্রদর্শন করে দর্শকদের আনন্দ দিচ্ছে
dogs run at a dog racetrack .,কুকুরগুলো একটি রেসের রাস্তায় দৌড়াচ্ছে
dogs with muzzles are racing around a sandy track .,মুখবন্ধ কুকুরগুলো একটি বালুময় ট্রেকে দৌড়াচ্ছে।
"four dogs in blue , green , red and black jerseys are racing .","নীল, সবুজ, লাল এবং কালো জার্সিতে চারটি কুকুর দৌড় করছে"
four dogs race around a turn .,একটি বাঁকে চারটি কুকুর দৌড় প্রতিযোগিতা করছে
greyhounds racing chasing a mechanical rabbit around the track .,প্রতিযোগিতায় অংশ নেয়া গ্রে হাউন্ড জাতের কুকুরগুলো একটি যান্ত্রিক খরগোশকে তাড়া করছে
a man holds his brown dog back from jumping in the water .,লোকটি তার বাদামী কুকুরকে ধরে আছে
a man in a white shirt is leaning over a brown dog in an orange collar .,সাদা শার্ট পড়া ব্যক্তি কমলা কলারের বাদামি কুকুরটির উপর ভর দিচ্ছে ।
a man is crouching down holding on to his large brown dog .,একজন লোক তার বিশাল ব্রাউন কুকুরের কাছে চেপে ধরে বসে আছে।
a man standing behind a black dog with a red collar,লাল কলারের একটি কালো কুকুরের পেছনে এক লোক দাঁড়িয়ে আছে
the man wearing a tan hat and white shirt holds his brown dog which is wearing an orange collar .,তামাটে রঙের টুপি এবং সাদা রঙের জামা পরিহিত লোকটি তার কমলা রঙের গলাবন্ধ পরিহিত বাদামি কুকুরটিকে ধরে আছে
a boy with his leg wrapped in blue tape,ছেলেটির পা নীল টেপ দিয়ে ঢাকা
"a little boy with his leg covered in painters tape , his brother wearing a superman cape .","এক ছোট বালকের পা পেইন্টার ট্যাপে ঢাকা,তার ভাই সুপারম্যানের হাতকাটা কোট পড়ে আছে।"
boy with blue cast sits with a boy in an orange cape .,নীল কাস্টযুক্ত ছেলে একটি কমলা কেপের ছেলের সাথে বসে
one boy has his leg wrapped in blue material and the other boy is wearing a red cape .,নীল বস্তুতে এক ছেলের পা পেঁচানো আর আরেক ছেলে লাল কাপড় পরে আছে
two kids playing super heroes,দুইটি শিশু সুপার হিরোদের অনুকরণ করে খেলছে
a dog jumps off a wooden porch .,কুকুরটি একটি কাঠের বারান্দা থেকে নামছে
a gold dog jumping off a wooden porch .,একটি সোনালি কুকুর কাঠের বারান্দা থেকে লাফ দিচ্ছে ।
a golden retriever is jumping off a wooden porch,একটি সোনালী রিট্রেইভার কুকুর একটি কাঠের বারান্দা থেকে লাফিয়ে উঠছে
a golden retriever jumping off a wood porch .,একটি সোনালি রেট্রাইভার কাঠের পোর্চ হতে লাফ দিচ্ছে
brown dog jumping off of a deck .,বাদামি কুকুরটি ডেক থেকে লাফ দিল
an equestrian and horse make a jump on a course .,একজন অশ্বারোহী এবং ঘোড়া একটি বাধার উপর দিয়ে যাচ্ছে
a rider on a white horse is in the middle of a jump over a hurdle .,এক সাদা ঘোড়ার উপর থাকা আরোহী একটি হার্ডল লাফ দিয়ে অতিক্রম করার মাঝখানে।
a show jumper wearing a blue helmet rides a white horse over wooden fence that is decorated with red and yellow flowers .,নীল রঙের হেলমেট পরা একটি শো জাম্পার একটি সাদা ঘোড়ার উপরে চড়ে লাল এবং হলুদ ফুল দিয়ে সজ্জিত একটি কাঠের বেড়া পার করছে
the rider is practicing jumps on a beautiful white horse .,একটি সুন্দর সাদা ঘোড়ায় করে এক চালক লম্ফ প্রশিক্ষণ নিচ্ছে
white horse with jockey jumps a barrier,সাদা রঙের ঘোড়াটি তার জকিকে পিঠে নিয়ে প্রতিবন্ধকের উপর দিয়ে লাফ দিল
a black animal and a white animal in motion in close quarters .,একটি কালো প্রাণী এবং একটি সাদা প্রাণী একদম পাশাপাশি দাঁড়িয়ে আছে
a black dog and a white dog playing in the street .,একটি সাদা ও একটি কালো কুকুর রাস্তায় খেলছে।
a black dog and a white dog play in the street together .,একটি কালো কুকুর এবং একটি সাদা কুকুর রাস্তায় একসাথে খেলা করে।
"a black , shaggy haired dog is playing with a brown and white , fluffy dog on the gravel .","একটি কালো,  রোমশ কুকুর একটি বাদামি-সাদা ফুঁয়োফুঁয়ো কুকুরের সাথে নুড়ির ওপর খেলছে"
two dogs are playing together on the pavement .,ফুটপাতে দুইটি কুকুর একসাথে খেলছে
a beautiful waterfall with two people walking on the road beside it .,একটি সুন্দর জলপ্রপাতের পাশে দুজন ভ্রমণকারি হাঁটছে
a beautiful waterfall flows down the side of a mossy rock wall .,একটি সুন্দর ঝরণার পানি শৈবালপূর্ণ পাথরের দেয়াল বেয়ে নামছে ।
a waterfall cascades into a shallow pool .,একটি জলপ্রপাত একটি অগভীর পুলে পতিত হয়
a waterfall splashes into a pool at the bottom of a steep grassy hill .,একটি ঝর্ণা পুলে পরছে যার নিচে ঘাসের পাহাড় রয়েছে
two people travel down a path going though a woods with a giant waterfall .,ঘন জঙ্গলের মধ্যে একটি বিশাল জলপ্রপাতের পাশের রাস্তা দিয়ে দুইজন লোক হেঁটে যাচ্ছে
a brown and black dog is jumping through a ring of fire .,আগুনের একটি গোল আংটির মধ্যে দিয়ে একটি কুকুর লাফ দিয়ে যাচ্ছে।
a brown and black dog jumping through a hoop of fire,একটি বাদামি ও কালো কুকুর আগুনের গোল্লার মধ্য দিয়ে লাফ দিচ্ছে ।
a dog jumping through a ring of fire .,একটি কুকুর আগুনের আংটির মাঝ দিয়ে ঝাঁপিয়ে পড়ে।
a german shepherd is jumping through a ring on fire .,আগুনের চাকার মধ্য দিয়ে একটি জার্মান শেফার্ড লাফ দিচ্ছে
a tan and black dog leaps through a burning hoop on a field .,একটি তামাটে ও কালো রঙের কুকুর মাঠের মধ্যে একটি জলন্ত চক্রের ভিতর দিয়ে লাফ দিচ্ছে
a white dog chasing a black dog across the grass .,সাদা কুকুরটি একটি কালো কুকুরের পিছে ছুটছে
a white dog is following a black dog through the grassy area .,ঘাসযুক্ত একটি স্থানে একটি সাদা  কুকুর কালো কুকুরকে অনুসরণ করছে।
"there are two dogs , black and white , and the black one is jumping .",কালো এবং সাদা দুটি কুকুর রয়েছে এবং কালোটি লাফিয়ে উঠছে।
"two dogs running in a grassy , fenced in area surrounded by trees .","একটি শ্যামল, বেড়া আর গাছ দিয়ে ঘেরা এলাকায় দুটি কুকুর দৌড়াচ্ছে"
two dogs running through a yard with a forest in the distance .,জঙ্গলের কাছেই দুইটি কুকুর উঠানের মধ্যে দৌড়াচ্ছে
two girls running through pool while water sprays over them,মেয়ে দুটি একটি অগভীর পুকুরে দৌড়াচ্ছে
two girls run through a sprinkler in a pool .,দুই মেয়ে একটি পুলে পানির ছিটের মধ্যদিয়ে দৌড়াচ্ছে।
two smiling little girls playing in a fountain with other people .,দুটি হাস্যরত ছোট মেয়ে অন্য লোকের সাথে ঝর্ণায় খেলছে।
two young girls are running through shallow water at a pool .,পুলের অগভীর পানিতে দুটি বাচ্চা মেয়ে দৌড়ে যাচ্ছে
two young girls run through a pool while water sprays them .,দুইটি বাচ্চা মেয়ে পুলের পানিতে দৌড়াচ্ছে এবং তাদের উপর পানি ছিটানো হচ্ছে
a girl in red jumps across a path .,লাল জামার মেয়েটি লাফ দিয়ে রাস্তা পার হচ্ছে
a girls in a red sweatsuit leaps through the air .,লাল স্যুয়েটস্যুট পড়া এক মেয়ে শূন্যে লাফ দিচ্ছে ।
"a young girl dressed in a red hoodie , red pants and red sneakers in a midair front split pose .","একটি যুবতী একটি লাল হুডি, লাল প্যান্ট এবং লাল স্নিকারস পরিহিত,বাতাসে দুপা ছড়িয়ে পোজ দেয়।"
girl in red jumping up,লাল পোষাকের মেয়েটি লাফাচ্ছে
the girl in the bright red outfit is skipping across the path .,উজ্জ্বল লাল রঙের পোশাক পরিহিত মেয়েটি পথের উপরে দড়িলাফ খেলছে
a girl in black tank top catches a fish .,মেয়েটি একটি মাছ ধরেছে
a woman holds a fish up that is connected to her fishing pole .,এক নারী তার বরশীতে লেগে থাকা একটি মাছ তুলে ধরেছে।
a woman in a black bathing suit holds up a fish .,একটি কালো স্নানের স্যুটে একটি মহিলা একটি মাছ ধরে আছে
a young woman holds up a fish she caught .,একজন যুবতী হাতে একটি মাছ ধরে আছে যেটি সে ধরেছে
the woman is holding up the line with the fish that she caught in the lake with her bamboo fishing pole .,একজন নারী হ্রদের পানিতে তার বাঁশের তৈরি বড়শি দিয়ে ধরা মাছটি তুলে ধরেছে
a boy throws a soccer ball from the sidelines in a soccer game .,ছেলেটি হাত দিয়ে একটি ফুটবল ছুঁড়ে মারছে
a child holding a soccer ball over his head .,এক বাচ্চা তার মাথার উপরে একটি ফুটবল ধরে আছে।
a child holds a soccer ball above their head while a group of seated people watch .,একটি শিশু তাদের মাথার উপরে একটি ফুটবল বল ধরে রাখে এবং একত্রে বসে থাকা একদল লোক দেখেন।
a child holds a soccer ball while people watch .,একটি বাচ্চা সকার বল ধরে আছে যাকে বাকিরা দেখছে
a girl in a sports outfit balances a soccer ball on her head .,খেলাধুলার পোশাক পরিহিত একটি মেয়ে তার মাথায় একটি ফুটবল ভারসাম্য করার চেষ্টা করছে
a delivery man is passing by two people at an art gallery .,একটি আর্ট গ্যালারিতে দুজন লোককে পাশ কাটিয়ে একজন লোক হেঁটে যাচ্ছে
a man and woman are looking at artwork that is on easels and clipped to a fencing wall .,বেড়ায় ঝুলানো চিএফলকে থাকা একটি চিএকর্মকে এক পুরুষ ও নারী দেখছে।
a man with a basket is walking through an are gallery .,ঝুড়ি সম্বলিত একটি ব্যক্তি একটি আর্ট গ্যালারী দিয়ে হাঁটছেন
people admiring paintings on the street .,রাস্তায় লোকেরা চিত্রকর্মের প্রশংসা করছে
some people are looking at pictures at an art gallery .,কয়েকজন লোক একটি চিত্রশালায় ছবি দেখছে
a little girl with a blue bow holding a plushie while picking her nose .,ছোট মেয়েটি নাকে আঙুল দিয়ে আছে
a little girl with a ribbon in her hair is picking her nose .,চুলে ফিতা পড়া এক মেয়ে তার নাক খুজাচ্ছে।
an asian girl with a finger up her nose .,একটি এশিয়ান মেয়ে নাকে আঙুল দিয়ে।
a young girl picks her nose .,একটি বাচ্চা মেয়ে নাক খোঁচাচ্ছে
young asian girl with blue hair ribbon picking nose .,নীল রঙের চুলের ফিতা পরিহিত একটি এশিয়ান বাচ্চা মেয়ে নাক খুঁটছে
a black dog carries a bird in its mouth as it jumps over a fence .,মুখে একটি পাখি নিয়ে একটি কুকুর বেড়ার উপর দিয়ে যাচ্ছে
a black dog jumping a wire fence with a dead bird in his mouth .,মুখে একটি মৃত পাখি নিয়ে কালো কুকুরটি তারের বেড়া টপকাচ্ছে ।
"a dog , holding a bird in its mouth , jumping a fence .","একটি কুকুর, একটি পাখি মুখে ধরে, একটি বেড়া দিয়ে ঝাঁপ দেয়।"
a dog trying to jump a wire fence with something in his mouth .,লাফিয়ে একটি তারের বেড়া পার হতে চাচ্ছে একটি কুকুর মুখে কিছু একটা নিয়ে
the black dog is jumping over a fence with a bird in its mouth .,মুখের মধ্যে একটি পাখি নিয়ে কালো রঙের কুকুরটি বেড়ার উপর দিয়ে লাফ দিচ্ছে
a man is docking a boat,লোকটি তীরে নৌকা রাখছে
a man is using a long pole to push two boats apart .,এক ব্যক্তি একটি বিশাল লাঠি দিয়ে দুটি নৌকাকে আলাদা করছে।
a man on a boat is using a large stick to push another boat away .,অন্য নৌকাকে দূরে ঠেলে দিতে নৌকায় থাকা এক ব্যক্তি একটি বড় লাঠি ব্যবহার করছেন।
a man on a fishing boat pushing a wooden pole into the water .,মাছ ধরার নৌকায় এক লোক একটি কাঠের খুটিকে পানিতে ঠেলছে এক লোক
a man standing on a boat is pulling another boat close by with a bamboo stick .,নৌকায় দাঁড়িয়ে থাকা একজন লোক বাঁশের লাঠি দিয়ে অন্য একটি নৌকাকে কাছে টানছে
a boy with a red shirt climbs a large rock while a man with a red shirt helps him .,লাল জামা পরা ছেলেটি একটি বড় শিলায় উঠছে
a man climbing the face of a rock .,এক ব্যক্তি শিলার মুখে আরোহণ করছে।
a man stands at the bottom of a rock face whist another man climbs up it .,একজন লোক পাথরের মুখের নীচে দাঁড়িয়ে যখন আরেকজনের উপরে উঠে যায়
a person climbing a large rock with another person on the ground helping,এক লোক বিশাল একটি পাথর বেয়ে উঠছে যখন আরেক লোক নিচ থেকে তাকে সাহায্য করছে
man helps another person reach the top of a rock they are climbing .,একজন লোক অন্য একজন লোককে শিলার চূড়ায় আরোহণ করতে সাহায্য করছে
a black and brown dog is wearing a blue color and is standing over water .,নীল কলার গলায় একটি বাদামী কুকুর পানির উপর ঝুলানো একটি ধাতব দন্ডের উপর দাঁড়িয়ে আছে
a black and brown dog standing on a beam above water .,একটি কালো ও বাদামি কুকুর পানির উপরে লৌহদণ্ডতে দাঁড়িয়ে আছে।
a black dog is standing on an iron girder that bridges the river .,একটি কালো কুকুর একটি লোহার গার্ডারের উপর দাঁড়িয়ে আছে যা নদীর ব্রিজ করে
a dog is standing on a metal beam alertly looking at something .,একটি ধাতব বিমের ওপর এক কুকুর সতর্কভাবে কিছু একটার দিকে তাকিয়ে আছে
a dog on a girder with a river bank in the background .,একটি কুকুর নদীর উপরে ইস্পাতের কাঠামোর উপর দাঁড়িয়ে আছে
a man in a hat standing in front of a tire shop .,মাথায় টুপি পরা লোকটি একটি চাকার দোকানের সামনে দাঁড়িয়ে আছে
a man standing in front of a garage .,এক ব্যক্তি গ্যারেজের সামনে দাঁড়িয়ে আছে।
a man with a beard stands in front of a used tires business .,দাড়িওয়ালা একটি লোক ব্যবহৃত টায়ারের ব্যবসায়ের সামনে দাঁড়িয়ে।
the man at the used tire shop has a white beard .,ব্যবহারকৃত একটি টায়ার শপে সাদা দাড়ির এক লোক রয়েছে
the man with a white beard and blue cap is standing in the doorway of a workshop .,নীল রঙের টুপি পরিহিত একজন সাদা দাড়িওয়ালা লোক কারখানার গেটে দাঁড়িয়ে আছে
a blonde boy in a white and orange t-shirt is playing on a swing .,সাদা জামা পরা স্বর্ণকেশী ছেলেটি একটি দোলনায় খেলছে
a boy in a surfing shirt is swinging on a swing .,সার্ফিং শার্ট পড়া এক বালক দোলনায় দোলছে।
a child is smiling while being on a swing .,দোলনায় থাকা অকটি শিশু হাসছে
a little boy swings at the playground .,একটি ছোট ছেলে খেলার মাঠে দুলছে
young child swinging on a swing .,বাচ্চা শিশুটি দোলনায় দুলছে
a african american stands by his car .,একজন আফ্রিকান আমেরিকান লোক তার গাড়ির পাশে দাঁড়িয়ে আছে
"a man stands at the wheel of a classic american car , door and trunk open .","এক ব্যক্তি একটি ক্লাসিক আমেরিকান কারের চাকায় দাঁড়িয়ে আছে ,দরজা ও ট্রাংক খোলা ।"
a man stands next to a car .,একটি লোক একটি গাড়ির পাশে দাঁড়ানো
man in blue shirt stands outside the car .,নীল শার্টের লোকটি গাড়ির বাইরে দাঁড়িয়ে আছে
the man in the blue is posing for a picture next to his car .,নীল রঙের জামা পরিহিত লোকটি তার গাড়ির পাশে দাঁড়িয়ে ছবি তোলার জন্য পোজ দিচ্ছে
a man is fly fishing alon in a stream .,লোকটি পানিতে জাল দিয়ে মাছ ধরছে
a man is wading in a river .,এক ব্যক্তি নদীতে হাটছে।
man fly fishing in a small river with steam in the background .,পেছনে বাষ্প সহ একটি ছোট নদীতে মাছ ধরছে লোকটি
person fishing in river .,এক লোক নদীতে মাছ ধরছে
the man is standing in the river next to smoking grass .,একজন লোক নদীর মধ্যে জলন্ত ঘাসের কাছে দাঁড়িয়ে আছে
a boy standing on a football field with a colored ball .,ফুটবল মাঠে একটি ছেলে বল নিয়ে দাঁড়িয়ে আছে
a little boy in orange kicking a soccer ball .,কমলা পড়া এক ছোট্ট বালক একটি ফুটবলে লাথি মারছে।
a little boy stands at a football field and prepares to kick a child 's play ball .,একটি ছোট ছেলে একটি ফুটবলের মাঠে দাঁড়িয়ে একটি শিশুর খেলার বলকে লাথি মারার জন্য প্রস্তুতি নেয়
"an orange shirted boy looks to the side , as he faces the rainbow colored soccer ball on the chalk striped field .","একটি কমলা শার্ট পরা ছেলে পাশে তাকাচ্ছে, যখন তার সামনে একটি রঙধনু রঙের বল রয়েছে চকের আঁকা মাঠে"
a young boy wearing an orange uniform stands on the field near a colorful ball .,কমলা রঙের পোশাক পরিহিত একটি বাচ্চা ছেলে মাঠে একটি রঙিন বলের পাশে দাঁড়িয়ে আছে
a blurred image of a black and white dog running through the grass .,সাদা ও কালো ছোপযুক্ত কুকুরের ঝাপসা একটি ছবি
a dog is running through a field .,একটি কুকুর মাঠের মধ্যে দৌড়াচ্ছে।
a large white and black dog is running very fast through the grass .,একটি বড় সাদা এবং কালো কুকুর ঘাসের মধ্য দিয়ে খুব দ্রুত চলছে
the black and white spotted dog is running outside .,একটি সাদা-কালো ছোপের কুকুর বাইরে দৌড়াচ্ছে
the dog is running while looking up,উপরের দিকে তাকিয়ে কুকুরটি দৌড়াচ্ছে।
a brown dog races through a field .,একটি বাদামী কুকুর মাঠের মধ্য দিয়ে দৌড়ে যাচ্ছে
a brown dog running through the tall grass .,একটি বাদামি কুকুর লম্বা ঘাসের মধ্যদিয়ে ছুটছে।
"a dog running in long grass , a housing development behind it .","লম্বা ঘাসে একটি কুকুর ছুটে চলেছে, এর পিছনে একটি আবাসন উন্নয়ন চলছে"
a tan dog is bounding through grass .,একটি ট্যান কুকুর ঘাস দিয়ে আবদ্ধ ।
two dogs running through tall grass .,ঘাসের মধ্যে দুটি কুকুর দৌড়াচ্ছে
a girl with blonde hair and a black shirt .,স্বর্ণকেশী মেয়েটি কালো জামা পরে আছে
a woman sits at an outdoor cafe table with really big blond hair .,বড় স্বর্ণকেশী এক নারী একটি ক্যাফের বাইরে টেবিলে বসে আছে।
a woman who is wearing red lipstick and has curly hair sits at a table .,লাল লিপস্টিক পরা এবং কোঁকড়ানো চুলের একটি মহিলা একটি টেবিলে বসে আছেন
a woman with bright red lipstick and big blonde hair sitting at an outside cafe,একজন স্বর্ণকেশী মহিলা রেঁস্তোরার বাইরে বসে আছেন
a woman with thick curly blond hair sits outdoors at a table .,ঘন কোঁকড়ানো স্বর্ণকেশী চুলযুক্ত এক মহিলা বাইরে একটি টেবিলে বসে আছেন।
a man and two boys are bouncing on a trampoline .,একজন পুরুষ ও দুটি ছেলে একটি ট্রাম্পোলিনে লাফালাফি করছে
a man and two boys jump on a trampoline .,এক পুরুষ ও দুই বালক একটি ট্রেম্পোলিনে লাফাচ্ছে ।
a man and two small boys jump on a trampoline .,একটি মানুষ এবং দুটি ছোট ছেলে ট্রাম্পলিনে ঝাঁপিয়ে পড়েছিল।
the man and two young boys jump on a trampoline .,একজন লোক দুই বাচ্চার সাথে লাফাচ্ছে
three males are jumping on a trampoline outside .,তিনজন পুরুষ বাইরে ট্রাম্পলিনে লাফাচ্ছেন।
a blond dog runs down a flight of stairs to the backyard .,কুকুরটি সিঁড়ি দিয়ে নিচে নামছে
a dog jumps off the stairs .,একটি কুকুর সিঁড়ি থেকে লাফ দিচ্ছে ।
a tan dog runs down a wooden staircase to the green grass .,একটা ট্যান কুকুর সবুজ ঘাসের দিকে কাঠের সিঁড়ি দিয়ে ছুটে চলেছে
a yellow dog is jumping across a grassy yard in front of a wooden deck .,কাঠের সিঁড়ি বেয়ে একটি সোনালি রঙের কুকুর নামছে
a yellow dog jumping off of a porch .,একটি হলুদ কুকুর বারান্দা থেকে লাফ দিচ্ছে।
a group of 6 boys are wearing yellow life vests and are on a make-shift raft .,লাইফ জ্যাকেট পরা ছেলেগুলো একটি নৌকায় বসে আছে
a group of people on a boat .,নৌকায় একদল লোক।
boys in life jackets on a watercraft .,জলযানে লাইফ জ্যাকেটে ছেলেরা
several young people in life jackets are sitting on something floating in water .,একদল তরুণ পানিতে ভাসমান কিছু একটার উপর বসে আছে
the boys in life jackets smile and laugh while riding in a boat .,লাইফ জ্যাকেট পরিধানকৃত ছেলেরা নৌকায় চড়ে হাসছে।
asian boys play on a raft in a lake,ছেলেগুলো একটি ভেলায় খেলছে
the three boys who are wearing life jackets are looking into the water .,লাইফ জ্যাকেট পড়া তিন বালক পানিতে দেখছে।
three boys in life jackets float on a raft .,লাইফ জ্যাকেটের তিনটি ছেলে একটি ভেলাতে ভাসছে।
three boys wearing life jackets are on top of innertube in the water .,তিন বালক পানিতে ভাসমান কিছু একটার উপর বসে আছে
three boys wearing yellow lifevests on a raft on the water .,জলের উপর একটি ভেলাতে হলুদ লাইভস্টেস্ট পরা তিন ছেলে।
